,latitude,longitude,free_bikes
135,43.658938,-79.383518,3
136,43.683378,-79.322961,2
137,43.6425636,-79.3762,3
138,43.6521,-79.4486,5
139,43.669969,-79.386532,0
140,43.633473,-79.425679,1
141,43.630254,-79.420317,27
142,43.662403,-79.423098,21
143,43.656945,-79.424911,4
144,43.6817346,-79.4184725,0
145,43.683296,-79.418734,15
146,43.673831,-79.281455,16
147,43.666325,-79.3014,14
148,43.651145,-79.423742,11
149,43.654905,-79.398448,14
150,43.651118,-79.369411,2
151,43.6571,-79.4056,6
152,43.652823,-79.393388,26
153,43.665527,-79.387499,9
154,43.6582,-79.3768,5
155,43.671172,-79.354704,9
156,43.677076,-79.35667,2
157,43.680223,-79.344062,12
158,43.678401,-79.346289,2
159,43.681991,-79.329455,11
160,43.6422222,-79.41111111111111,10
161,43.663808,-79.410491,1
162,43.6666667,-79.41166666666668,9
163,43.6638889,-79.41888888888889,7
164,43.661705,-79.425734,1
165,43.6686111,-79.42027777777778,4
166,43.665327,-79.43235,13
167,43.657343,-79.43112,4
168,43.645324,-79.40345,19
169,43.650256,-79.36163,0
170,43.651111111111106,-79.4213888888889,8
171,43.656296,-79.414663,13
172,43.651281,-79.411717,5
173,43.65277778,-79.42972222,4
174,43.655,-79.418889,12
175,43.668553,-79.338673,13
176,43.663912,-79.327987,10
177,43.6462176,-79.3855048,14
178,43.69595,-79.328535,7
179,43.6753188,-79.3462789,5
180,43.6720273,-79.3470557,11
181,43.637981,-79.424146,11
182,43.640885,-79.416379,11
183,43.6552778,-79.36583333333333,0
184,43.6712581,-79.376367,0
185,43.664524,-79.36793,7
186,43.665867,-79.362506,7
187,43.648575,-79.380042,11
188,43.643473,-79.390477,12
189,43.645859,-79.38783,26
190,43.662132,-79.3656796,7
191,43.640722,-79.391051,10
192,43.66207,-79.37617,1
193,43.660206,-79.3244,7
194,43.668633,-79.291162,5
195,43.665801,-79.384796,0
196,43.668153,-79.38891,2
197,43.657024,-79.377257,5
198,43.662862,-79.383572,7
199,43.7063473,-79.40161,3
200,43.6978701,-79.39419,0
201,43.696708,-79.40045,1
202,43.6476616,-79.37549,1
203,43.6487245,-79.36839,13
204,43.64852,-79.380576,10
205,43.656026,-79.385327,7
206,43.645323,-79.395003,13
207,43.677778,-79.405556,0
208,43.641646,-79.375308,15
209,43.646162,-79.378912,9
210,43.687323,-79.304848,0
211,43.668991,-79.379385,1
212,43.6622222,-79.3825,6
213,43.64333333333333,-79.40555555555557,17
214,43.6575,-79.39527777777778,3
215,43.657424,-79.381019,17
216,43.64595,-79.378761,18
217,43.668427,-79.38725,5
218,43.669604,-79.381171,3
219,43.661673,-79.337789,16
220,43.665656,-79.352055,17
221,43.6308933,-79.4722622,16
222,43.6224434,-79.480284,19
223,43.66986,-79.398443,0
224,43.659471,-79.350325,8
225,43.650492,-79.450842,4
226,43.640255,-79.439223,5
227,43.637922,-79.431734,1
228,43.643769,-79.447915,12
229,43.649172,-79.4445087,13
230,43.663912,-79.416124,7
231,43.6458569,-79.3853654,19
232,43.66587,-79.33443,9
233,43.658816,-79.367318,4
234,43.654004,-79.444792,8
235,43.6397,-79.44865,14
236,43.653809,-79.3595,12
237,43.673768,-79.391253,5
238,43.656638,-79.358749,0
239,43.716652,-79.399993,3
240,43.684261,-79.299332,1
241,43.678685,-79.297974,7
242,43.65143,-79.47779,8
243,43.64976,-79.48477,13
244,43.664182,-79.449066,8
245,43.64407,-79.3929,18
246,43.61868,-79.48674,14
247,43.6442,-79.38702,18
248,43.64283,-79.38409,12
249,43.65182,-79.47421,16
