,POI,latitude,longitude,address,city,postCode
1310,Diner,43.65543,-79.398689,"353 Spadina Ave, Toronto ON M5T 2G3",Toronto,M5T 2G3
1311,Vietnamese Restaurant,43.65445,-79.399046,"6 St Andrew St (Spadina Ave), Toronto ON M5T 1K6",Toronto,M5T 1K6
1312,Vietnamese Restaurant,43.654456,-79.398954,"350 Spadina Ave (at St Andrews St.), Toronto ON M5T 2G4",Toronto,M5T 2G4
1313,Bakery,43.65484,-79.399857,"161 Baldwin St, Toronto ON M5T 1L9",Toronto,M5T 1L9
1314,Café,43.653582,-79.398627,"322 Spadina Ave (at Dundas St E), Toronto ON M5T 2E7",Toronto,M5T 2E7
1315,Chinese Restaurant,43.653903,-79.398071,"309 Spadina Ave (btwn Dundas St. W & D'Arcy St.), Toronto ON M5T 2E6",Toronto,M5T 2E6
1316,Café,43.654983,-79.400207,"160 Baldwin St (Spadina), Toronto ON M5T 3K7",Toronto,M5T 3K7
1317,Café,43.654265,-79.400045,"30 Saint Andrew St (at Spadina Ave), Toronto ON M5T 1K6",Toronto,M5T 1K6
1318,Bakery,43.65489,-79.400706,"172 Baldwin St, Toronto ON M5T 1L8",Toronto,M5T 1L8
1319,Café,43.650673,-79.369086,"161 Frederick St (at King St E), Toronto ON M5A 4P3",Toronto,M5A 4P3
1320,Furniture and Home Store,43.651333,-79.36849,"222 King St E (Sherbourrne), Toronto ON M5A 1J7",Toronto,M5A 1J7
1321,Diner,43.650697,-79.370305,"191 King St E (at George St), Toronto ON M5A 1J5",Toronto,M5A 1J5
1322,Coffee Shop,43.651204,-79.367955,"251 King St E (Sherbourne Street), Toronto ON M5A 1K2",Toronto,M5A 1K2
1323,Grocery Store,43.650044,-79.370015,"120 Front St E (George), Toronto ON M5A 4L9",Toronto,M5A 4L9
1324,Karaoke Bar,43.650165,-79.368351,"169 Front St E (at Sherbourne St), Toronto ON M5A 3Z4",Toronto,M5A 3Z4
1325,Italian Restaurant,43.651059,-79.368399,"243 King St E (at Lower Sherbourne St), Toronto ON M5A 1J9",Toronto,M5A 1J9
1326,Post Office,43.651859,-79.370537,"260 Adelaide St W, Toronto ON M5H 1X6",Toronto,M5H 1X6
1327,Technology Business,43.649777,-79.369832,"127 Front St E (at George Street), Toronto ON M5A 1E3",Toronto,M5A 1E3
1328,Bar,43.657062,-79.405588,"388 College St, Toronto ON M5T 1S7",Toronto,M5T 1S7
1329,Lounge,43.657055,-79.405681,"394 College St (btw Borden & Croft), Toronto ON M5T 1S7",Toronto,M5T 1S7
1330,Ramen Restaurant,43.656458,-79.406941,"421 College St (at Bathurst St), Toronto ON M5T 1T1",Toronto,M5T 1T1
1331,Café,43.656778,-79.407179,"426 College St (at Bathurst), Toronto ON M5T 1T3",Toronto,M5T 1T3
1332,Wine Bar,43.656791,-79.406994,"418 College St, Toronto ON M5T 1T3",Toronto,M5T 1T3
1333,Middle Eastern Restaurant,43.656791,-79.406994,"422 College St W (Bathurst), Toronto ON M5T 1T3",Toronto,M5T 1T3
1334,Bookstore,43.657174,-79.404811,"372 College St (btwn Borden St. & Brunswick St.), Toronto ON M5T 1S6",Toronto,M5T 1S6
1335,Lounge,43.656372,-79.407348,"431 College St (at Bathurst St), Toronto ON M5T 1T1",Toronto,M5T 1T1
1336,Middle Eastern Restaurant,43.656798,-79.406902,"420 College St (at Spadina), Toronto ON M5T 1T3",Toronto,M5T 1T3
1337,Taco Restaurant,43.656725,-79.407124,"424 College St (Bathurst), Toronto ON M5T 1T3",Toronto,M5T 1T3
1338,Art Gallery,43.65302,-79.39246,"317 Dundas St W (AGO), Toronto ON M5T 1G4",Toronto,M5T 1G4
1339,Art Gallery,43.653685,-79.392566,"317 Dundas St W (at Beverley St), Toronto ON M5T 1G4",Toronto,M5T 1G4
1340,Arts and Crafts Store,43.652513,-79.39093,"74 McCaul St./1842 Queen St E./2868 Dundas St W (Dundas St.), Toronto ON M5T 3K2",Toronto,M5T 3K2
1341,Chinese Restaurant,43.653713,-79.395282,"418 Dundas St W (btwn Beverley & Huron St), Toronto ON M5T 1G7",Toronto,M5T 1G7
1342,Café,43.654316,-79.390843,"281 Dundas St W (St Patrick And Dundas St W), Toronto ON M5T 1G1",Toronto,M5T 1G1
1343,Fast Food Restaurant,43.653858,-79.390957,"109 McCaul St (at Dundas St. W), Toronto ON M5T 3K5",Toronto,M5T 3K5
1344,Sushi Restaurant,43.654343,-79.390474,"275 Dundas St W, Toronto ON M5T 3K1",Toronto,M5T 3K1
1345,Music Store,43.65068,-79.396856,"215 Spadina Ave (Sullivan), Toronto ON M5T 2C7",Toronto,M5T 2C7
1346,Stationery Store,43.65162,-79.397052,"247 Spadina Ave (Dundas St W), Toronto ON M5T 3A8",Toronto,M5T 3A8
1347,Café,43.650738,-79.396818,"215 Spadina Ave (at Sullivan St.), Toronto ON M5T 2C7",Toronto,M5T 2C7
1348,Fried Chicken Joint,43.665406,-79.387326,"995 Bay St (Phipps St.), Toronto ON M5S 3C4",Toronto,M5S 3C4
1349,Sushi Restaurant,43.665661,-79.3869,"33 Saint Joseph St (Yonge and Wellesley), Toronto ON M4Y 1J8",Toronto,M4Y 1J8
1350,Café,43.665372,-79.387789,"1000 Bay St, Toronto ON M5S 0C4",Toronto,M5S 0C4
1351,Bubble Tea Shop,43.665748,-79.385698,"5 St Joseph St, Toronto ON M4Y 0B6",Toronto,M4Y 0B6
